               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.020951,            0.031647,                   0,              0.9842,             0.98152,             0.99319,             0.76845,            0.018959,            0.032568,                   0,          0.00053965,          0.00053965,          0.00053965
                  95,            0.021158,            0.031459,                   0,             0.98531,             0.98056,              0.9932,             0.76844,            0.018953,            0.032567,                   0,           0.0005347,           0.0005347,           0.0005347
                  96,            0.020969,            0.031303,                   0,             0.98537,             0.98018,              0.9932,             0.76852,            0.018943,            0.032564,                   0,          0.00052975,          0.00052975,          0.00052975
                  97,            0.020866,            0.031332,                   0,             0.98582,             0.98001,              0.9932,             0.76852,            0.018936,            0.032563,                   0,           0.0005248,           0.0005248,           0.0005248
                  98,            0.020895,            0.031014,                   0,             0.98538,             0.98037,             0.99321,             0.76829,            0.018939,            0.032569,                   0,          0.00051985,          0.00051985,          0.00051985
                  99,            0.020729,             0.03081,                   0,             0.98545,             0.98091,             0.99322,              0.7687,            0.018928,            0.032557,                   0,           0.0005149,           0.0005149,           0.0005149
                 100,            0.020683,             0.03105,                   0,             0.98587,             0.98056,             0.99323,             0.76917,            0.018916,             0.03254,                   0,          0.00050995,          0.00050995,          0.00050995
                 101,            0.020899,            0.031222,                   0,              0.9862,              0.9801,             0.99325,             0.76936,            0.018906,            0.032527,                   0,            0.000505,            0.000505,            0.000505
                 102,            0.020704,            0.030827,                   0,             0.98638,             0.97998,             0.99323,             0.76943,            0.018896,            0.032522,                   0,          0.00050005,          0.00050005,          0.00050005
                 103,            0.020809,            0.031365,                   0,              0.9862,             0.98067,             0.99324,              0.7692,            0.018885,            0.032507,                   0,           0.0004951,           0.0004951,           0.0004951
                 104,            0.020729,            0.031151,                   0,             0.98601,             0.98005,             0.99322,              0.7692,            0.018884,            0.032502,                   0,          0.00049015,          0.00049015,          0.00049015
                 105,             0.02054,            0.031184,                   0,              0.9862,             0.98029,             0.99322,             0.76897,            0.018878,            0.032497,                   0,           0.0004852,           0.0004852,           0.0004852
                 106,            0.020616,            0.031112,                   0,             0.98574,             0.98056,             0.99321,             0.76911,             0.01887,            0.032488,                   0,          0.00048025,          0.00048025,          0.00048025
                 107,            0.020699,            0.031154,                   0,              0.9862,             0.98023,             0.99323,             0.76928,             0.01886,            0.032476,                   0,           0.0004753,           0.0004753,           0.0004753
                 108,            0.020521,            0.030672,                   0,              0.9861,             0.98018,             0.99323,             0.76943,            0.018854,            0.032475,                   0,          0.00047035,          0.00047035,          0.00047035
                 109,            0.020582,            0.030621,                   0,             0.98576,             0.98114,             0.99322,             0.76985,            0.018851,            0.032474,                   0,           0.0004654,           0.0004654,           0.0004654
                 110,            0.020556,             0.03095,                   0,             0.98565,             0.98134,             0.99323,             0.76975,            0.018848,            0.032473,                   0,          0.00046045,          0.00046045,          0.00046045
                 111,            0.020577,            0.030865,                   0,             0.98551,             0.98171,             0.99323,             0.76959,            0.018847,            0.032473,                   0,           0.0004555,           0.0004555,           0.0004555
                 112,            0.020595,            0.031229,                   0,             0.98551,             0.98171,             0.99323,             0.76976,             0.01884,            0.032469,                   0,          0.00045055,          0.00045055,          0.00045055
                 113,            0.020525,            0.030613,                   0,              0.9856,             0.98171,             0.99324,             0.76982,            0.018831,            0.032454,                   0,           0.0004456,           0.0004456,           0.0004456
                 114,            0.020572,            0.030821,                   0,             0.98497,             0.98228,             0.99326,             0.77001,            0.018829,            0.032451,                   0,          0.00044065,          0.00044065,          0.00044065
                 115,            0.020421,            0.030719,                   0,             0.98515,             0.98228,             0.99325,             0.76998,            0.018828,            0.032451,                   0,           0.0004357,           0.0004357,           0.0004357
                 116,            0.020507,            0.030754,                   0,             0.98504,             0.98247,             0.99325,             0.77049,            0.018823,            0.032445,                   0,          0.00043075,          0.00043075,          0.00043075
                 117,            0.020247,            0.030368,                   0,              0.9851,             0.98247,             0.99324,             0.77032,            0.018816,            0.032436,                   0,           0.0004258,           0.0004258,           0.0004258
                 118,            0.020381,            0.030453,                   0,             0.98472,             0.98267,             0.99325,             0.77045,            0.018808,            0.032434,                   0,          0.00042085,          0.00042085,          0.00042085
                 119,            0.020256,            0.030233,                   0,             0.98546,             0.98285,             0.99325,             0.77083,            0.018804,            0.032431,                   0,           0.0004159,           0.0004159,           0.0004159
                 120,            0.020324,            0.030491,                   0,             0.98529,             0.98279,             0.99325,             0.77052,              0.0188,            0.032422,                   0,          0.00041095,          0.00041095,          0.00041095
                 121,             0.02031,             0.03068,                   0,             0.98527,             0.98285,             0.99321,              0.7707,              0.0188,            0.032416,                   0,            0.000406,            0.000406,            0.000406
                 122,            0.020313,            0.030119,                   0,             0.98473,             0.98334,              0.9932,             0.77102,            0.018795,            0.032409,                   0,          0.00040105,          0.00040105,          0.00040105
                 123,             0.02026,            0.031071,                   0,             0.98546,             0.98285,              0.9932,             0.77094,            0.018794,            0.032409,                   0,           0.0003961,           0.0003961,           0.0003961
                 124,            0.020092,            0.030154,                   0,             0.98492,             0.98343,             0.99321,             0.77112,            0.018791,            0.032404,                   0,          0.00039115,          0.00039115,          0.00039115
                 125,            0.020239,             0.03068,                   0,              0.9853,             0.98342,             0.99319,             0.77121,            0.018789,            0.032399,                   0,           0.0003862,           0.0003862,           0.0003862
                 126,             0.02018,            0.030469,                   0,             0.98568,             0.98361,             0.99321,             0.77121,            0.018785,            0.032382,                   0,          0.00038125,          0.00038125,          0.00038125
                 127,            0.020147,            0.030246,                   0,             0.98567,             0.98326,              0.9932,             0.77143,            0.018777,             0.03237,                   0,           0.0003763,           0.0003763,           0.0003763
                 128,            0.020071,            0.030381,                   0,             0.98567,             0.98334,             0.99321,             0.77145,            0.018771,            0.032361,                   0,          0.00037135,          0.00037135,          0.00037135
                 129,            0.020066,            0.029956,                   0,             0.98567,             0.98334,             0.99319,             0.77139,            0.018768,            0.032357,                   0,           0.0003664,           0.0003664,           0.0003664
                 130,            0.020097,            0.030639,                   0,             0.98567,             0.98331,             0.99318,             0.77165,            0.018763,             0.03236,                   0,          0.00036145,          0.00036145,          0.00036145
